"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Soldado Ferido1797588193543370314084426710707381499702", 1, 17, 21, 32, 357, 1
"EVENTO:", "Individuo Suspeito8317298783640823705447813248229007033246", 2, 70, 19, 26, 360, 0
"EVENTO:", "Individuo Suspeito8317298783640823705447813248229007033246", 2, 70, 19, 26, 361, 1
"EVENTO:", "Individuo Suspeito8116914706141292994349394527900414571273", 2, 52, 11, 29, 363, 0
"EVENTO:", "Individuo Suspeito8116914706141292994349394527900414571273", 2, 52, 11, 29, 364, 1
"EVENTO:", "Navio Afundando12261558995094266726010404146939638444368", 3, 74, 19, 31, 366, 0
"EVENTO:", "Navio Afundando12261558995094266726010404146939638444368", 3, 74, 19, 31, 366, 1
"EVENTO:", "Mulher em Trabalho de Parto11325469598882516238771566211707366825407", 1, 47, 19, 32, 369, 0
"EVENTO:", "Mulher em Trabalho de Parto11325469598882516238771566211707366825407", 1, 47, 19, 32, 370, 1
"EVENTO:", "Individuo Suspeito8307025077419568748420533798761305583027", 2, 47, 19, 32, 372, 0
"EVENTO:", "Individuo Suspeito8307025077419568748420533798761305583027", 2, 47, 19, 32, 373, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3301070003257301759571766849387357235556", 3, 20, 20, 30, 375, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3301070003257301759571766849387357235556", 3, 20, 20, 30, 375, 1
"EVENTO:", "Fuga5230897316785380800673821321859701982621", 2, 46, 23, 35, 378, 0
"EVENTO:", "Fuga5230897316785380800673821321859701982621", 2, 46, 23, 35, 379, 1
"EVENTO:", "Briga1263657120763377934395492902115841202191", 1, 12, 26, 37, 381, 0
"EVENTO:", "Briga1263657120763377934395492902115841202191", 1, 12, 26, 37, 381, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1335124076050716485028154087081184154077", 1, 22, 15, 26, 384, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1335124076050716485028154087081184154077", 1, 22, 15, 26, 385, 1
"EVENTO:", "Individuo Suspeito839964709463852452778144502586649866498", 1, 37, 17, 25, 387, 0
"EVENTO:", "Individuo Suspeito839964709463852452778144502586649866498", 1, 37, 17, 25, 388, 1
"EVENTO:", "Quadrilha15292878833602382410652561747438452129974", 3, 38, 28, 36, 390, 0
"EVENTO:", "Quadrilha15292878833602382410652561747438452129974", 3, 38, 28, 36, 391, 1
"EVENTO:", "Individuo Suspeito8252572519293790274668860080287647261883", 3, 40, 23, 32, 393, 0
"EVENTO:", "Individuo Suspeito8252572519293790274668860080287647261883", 3, 40, 23, 32, 394, 1
"EVENTO:", "PM na \xc3\x81rea14267811828572736627240654668292994481314", 1, 2, 16, 31, 396, 0
"EVENTO:", "PM na \xc3\x81rea14267811828572736627240654668292994481314", 1, 2, 16, 31, 397, 1
